no,takaran_g,nama,energi_kkal,protein_g,lemak_g,karbohidrat_g,food_segment
1,100 gr,alpukat,85.0,0.9,6.5,7.7,2
2,100 gr,apel,58.0,30.12,30.12,14.9,2
3,25 gr,bakpia,68.0,2.175,1.675,11.025,2
4,1 mangkok,bakso,283.0,17.37,18.43,10.61,3
5,50 gr,bakwan,140.0,4.1,5.1,19.5,6
6,100 gr,batagor,290.0,10.28,14.92,29.14,3
7,1 porsi,bihun,192.0,1.6,0.35,43.82,6
8,"1 porsi, 300 gr",bihun goreng,455.0,17.73,17.04,54.79,1
9,100 gr,biskuit,458.0,6.9,14.4,75.1,7
10,100 gr,buah naga,56.0,0.8,1.0,10.9,2
11,300 gr,bubur ayam,477.0,15.3,6.3,85.8,7
12,120 gr,bubur kacang hijau,130.0,4.2,3.68,21.31,6
13,"240 gr, 1 porsi",bubur manado,349.0,10.51,7.63,61.67,8
14,100 gr,"cap cai, sayur",97.0,5.8,6.3,4.2,2
15,100 gr,coklat,477.0,4.2,29.7,63.4,7
16,"1 porsi, 241 gr",coto,289.0,25.4,15.25,12.92,3
17,1 buah 30 gr,donat,120.0,1.56,6.54,13.89,6
18,100 gr,durian,134.0,2.5,3.0,28.0,6
19,29 gr,energen coklat,130.0,1.0,3.0,23.0,6
20,200 gr,gado-gado,274.0,12.2,6.4,42.0,8
21,"1 bungkus, 69 gr",indomie ayam bawang,300.0,7.0,11.0,43.0,8
22,"1 bungkus, 80 gr",indomie goreng,380.0,8.0,12.0,52.0,8
23,"1 bungkus, 72 gr",indomie kari,320.0,7.0,12.0,45.0,8
24,"1 bungkus, 75 gr",indomie kuah,340.0,6.0,12.0,50.0,8
25,"1 bungkus, 70 gr",indomie soto,300.0,7.0,10.0,46.0,8
26,1 potong,jagung rebus,59.0,1.96,0.47,1.96,2
27,100 gr,jambu air,46.0,0.6,0.2,10.1,2
28,100 gr,jambu biji,49.0,30.12,30.12,11.1,2
29,100 gr,jeruk bali,48.0,30.12,30.12,12.4,2
30,100 gr,kacang kulit,414.0,17.1,3.2,10.1,3
31,100 gr,kedondong,32.0,0.6,0.4,7.2,2
32,70 gr,kentang goreng,192.0,2.44,9.84,24.96,6
33,100 gr,keripik pisang,519.0,2.3,33.6,58.4,7
34,"1 porsi, 28 gr",keripik singkong,136.0,0.59,6.23,20.0,6
35,100 gr,keripik ubi,486.0,0.2,23.9,67.6,7
36,12 gr,kerupuk,60.0,0.89,3.04,7.32,2
37,100 gr,kerupuk singkong,288.0,2.4,0.7,70.2,8
38,"6 buah, 30 gr",kerupuk udang,164.7,1.95,8.52,1.98,6
39,100 gr,kerupuk udang,549.0,6.5,28.4,6.6,1
40,"1 porsi, 200 gr",ketoprak,402.0,15.59,15.34,50.48,1
41,"200 gr ketupat, 200 gr soto",ketupat + soto,256.0,15.6,9.2,26.0,3
42,400 gr,ketupat tahu,391.0,11.26,10.89,62.65,1
43,1 buah,kue bolu,187.0,4.6,2.71,36.35,6
44,100 gr,kue bolu coklat,207.0,4.4,2.0,42.9,6
45,101 gr,kue bolu kacang,236.0,4.1,3.2,47.2,8
46,102 gr,kue lapis,403.0,5.7,22.9,44.3,1
47,60 gr,kue nastar,224.0,3.42,6.41,37.99,6
48,"1 posi, 90 gr",kwetiaw,158.0,4.55,5.73,21.39,6
49,100 gr,lontong,188.0,2.2,4.2,35.5,6
50,"200 gr lontong, 50 gr sate",lontong + nasi,533.0,17.2,19.9,71.0,7
51,"200 gr lontong, 200 gr soto",lontong + soto ayam,476.0,19.6,9.6,74.6,7
52,"1 mangkok, 400 gr",lontong sayur,357.0,11.11,8.39,59.1,8
53,"1 buah, 125 gr",lumpia,157.5,6.3,4.6,22.1,6
54,100 gr,mangga,65.0,0.5,17.0,1.8,2
55,"80 g, 1 potong",martabak manis,204.0,8.73,8.97,21.9,6
56,110 gr,martabak telur,203.0,10.89,8.45,20.38,6
57,"100 gr mie, 60 gr telur",mie + telur,437.2,16.5,15.22,57.32,1
58,"1 mangkok, 240 gr",mie ayam,421.0,16.7,18.74,46.21,1
59,"1 mangkok, 241 gr",mie bakso,388.0,20.24,16.62,40.05,1
60,300 gr,mie goreng,750.0,10.5,51.6,60.3,5
61,"200 gr nasi, 1 mangkok kangkung",nasi + sayur kangkung,471.0,10.3,19.12,65.78,7
62,"200 gr nasi, 50 gr ayam",nasi + ayam bakar,342.5,17.3,3.4,57.2,8
63,"200 gr nasi, 50 gr ayam",nasi + ayam geprek,385.0,14.8,7.9,62.2,8
64,"200 gr nasi, 40 gr ayam",nasi + ayam goreng paha atas,374.4,17.64,6.84,57.64,8
65,"200 gr nasi, 30 gr ayam",nasi + ayam goreng paha b,345.8,14.43,5.23,57.53,8
66,"200 gr nasi, 60 gr ayam","nasi + ayam goreng, dada",438.8,25.32,10.48,57.26,1
67,"200 gr nasi, 50 gr ayam",nasi + ayam panggang,368.0,13.37,8.325,57.2,8
68,"200 gr nasi, 50 gr bebek",nasi + bebek goreng,428.5,14.3,14.6,57.2,1
69,"1 ekor sdg, 40 gr",nasi + cumi,366.0,21.04,4.44,57.2,8
70,"200 gr nasi, 60 gr gulai",nasi + gulai kambing,335.6,7.32,6.04,60.92,8
71,"200 gr nasi, 120 gr ikan",nasi + ikan,452.0,20.4,14.8,57.2,1
72,"25 gr nasi, 120 gr ikan, 241 gr capcai","nasi + ikan + cap cai, sayur",683.0,26.01,20.41,94.35,5
73,"23 gr nasi, 120 gr ikan, 240 gr sayur asem",nasi + ikan + sayur asem,556.8,25.34,13.92,83.9,7
74,"20 gr nasi, 120 gr ikan, 100 gr bayam",nasi + ikan + sayur bayam bening,410.6,13.79,9.83,65.44,1
75,"24 gr nasi, 120 gr ikan, 125 gr sayur labu",nasi + ikan + sayur labu,737.0,19.11,20.39,111.1,5
76,"21 gr nasi, 120 gr ikan, 100 gr lodeh",nasi + ikan + sayur lodeh,534.2,18.36,18.69,72.65,7
77,"22 gr nasi, 120 gr ikan, 241 gr sayur sop",nasi + ikan + sayur sop,500.5,16.42,16.53,69.18,7
78,"200 gr nasi, 120 gr ikan, 85 gr kangkung",nasi + ikan + tumis kangkung,558.0,23.16,24.2,61.51,7
79,"sedang, 40 gr",nasi + ikan lele goreng,293.6,10.72,1.32,57.2,8
80,"200 gr nasi, 60 gr rendang",nasi + rendang,281.84,4.86,0.52,111.5,8
81,"200 gr nasi, 50 gr sate",nasi + sate ayam,417.0,17.6,11.9,57.2,1
82,"1 buah, 70 gr",nasi + semur tahu,330.0,14.4,3.6,64.6,8
83,"200 gr nasi, 200 gr soto",nasi + soto ayam,476.0,19.6,9.6,74.6,7
84,"200 gr nasi, 70 gr tahu",nasi + tahu,404.2,149.0,144.6,201.4,4
85,"25 gr nasi, 60 gr tahu, 241 gr capcai",nasi + tahu + cap cai,480.6,14.98,18.88,58.22,7
86,"23 gr nasi, 60 gr tahu, 240 gr sayur asem",nasi + tahu + sayur asem,463.6,12.36,15.34,58.22,1
87,"20 gr nasi, 60 gr tahu, 100 gr bayam",nasi + tahu + sayur bayam bening,419.6,10.97,12.95,58.22,1
88,"24 gr nasi, 60 gr tahu, 125 gr sayur labu",nasi + tahu + sayur labu,498.6,11.88,16.96,58.22,7
89,"21 gr nasi, 60 gr tahu, 100 gr lodeh",nasi + tahu + sayur lodeh,545.6,15.84,22.05,58.22,7
90,"22 gr nasi, 60 gr tahu, 241 gr sayur sop",nasi + tahu + sayur sop,455.6,11.3,14.51,58.22,1
91,"200 gr nasi, 50 tahu tempe",nasi + tahu + tempe,540.0,17.0,24.0,65.7,7
92,"200 gr nasi, 60 gr tahu, 85 gr kangkung",nasi + tahu + tumis kangkung,489.6,11.94,21.98,58.22,7
93,"200 gr nasi, 60 gr telur",nasi + telor ceplok,374.6,12.0,9.46,57.8,8
94,"200 gr nasi, 60 gr telur",nasi + telor dadar,372.2,11.7,9.22,57.92,8
95,"200 gr nasi, 60 gr telur",nasi + telor orak-arik,410.6,14.58,12.04,58.04,1
96,"25 gr nasi, 60 gr telur, 241 gr capcai",nasi + telur + cap cai,471.6,17.8,15.76,57.8,1
97,"23 gr nasi, 60 gr telur, 240 gr sayur asem",nasi + telur + sayur asem,454.6,15.18,12.22,57.8,1
98,"20 gr nasi, 60 gr telur, 100 gr bayam",nasi + telur + sayur bayam bening,410.6,13.79,9.83,57.8,1
99,"24 gr nasi, 60 gr telur, 125 gr sayur labu",nasi + telur + sayur labu,489.6,14.7,13.84,57.8,7
100,"21 gr nasi, 60 gr telur, 100 gr lodeh",nasi + telur + sayur lodeh,536.6,18.66,18.93,57.8,7
101,"22 gr nasi, 60 gr telur, 241 gr sayur sop",nasi + telur + sayur sop,446.6,14.12,11.39,57.8,1
102,"200 gr nasi, 60 gr telur, 85 gr kangkung",nasi + telur + tumis kangkung,480.6,14.76,18.86,62.11,7
103,"200 gr nasi, 60 gr telur",nasi + telur goreng,374.6,12.0,9.46,57.8,8
104,"200 gr nasi, 100 gr tempe",nasi + tempe,614.0,21.9,27.3,72.5,5
105,"23 gr nasi, 60 gr tempe, 240 gr sayur asem",nasi + tempe + sayur asem,552.4,18.24,19.3,66.38,7
106,"25 gr nasi, 60 gr tempe, 241 gr capcai",nasi + tempe + cap cai,569.4,20.86,22.84,66.38,7
107,"20 gr nasi, 60 gr tempe, 100 gr bayam",nasi + tempe + sayur bayam bening,508.4,16.85,16.91,66.38,7
108,"24 gr nasi, 60 gr tempe, 125 gr sayur labu",nasi + tempe + sayur labu,587.4,17.76,20.92,66.38,7
109,"21 gr nasi, 60 gr tempe, 100 gr lodeh",nasi + tempe + sayur lodeh,634.4,21.72,26.01,66.38,5
110,"22 gr nasi, 60 gr tempe, 241 gr sayur sop",nasi + tempe + sayur sop,544.4,17.18,18.47,66.38,7
111,"200 gr nasi, 60 gr tempe, 85 gr kangkung",nasi + tempe + tumis kangkung,720.0,17.82,25.94,66.38,5
112,"3 sdm, 45 gr",nasi + tempe orek,305.0,9.1,2.2,61.1,8
113,"5 ekor sedang berat, 50 gr",nasi + udang,403.5,10.09,14.185,64.545,1
114,100 gr,nasi capcai,357.0,10.6,6.7,61.4,8
115,149 gr,nasi goreng,250.0,9.39,9.28,31.28,3
116,1 porsi,nasi goreng ayam goreng,329.0,12.45,11.96,,8
117,150 gr,nasi kuning,150.0,2.99,0.27,32.96,6
118,"200 gr nasi, 50 gr ayam",nasi kuning + ayam,343.0,20.01,8.41,44.35,8
119,"200 gr nasi, 120 gr ikan",nasi kuning + ikan,392.0,19.56,14.76,43.8,1
120,"200 gr nasi, 60 gr telur",nasi kuning + telur,314.6,11.16,9.42,44.4,8
121,"1 porsi, 380 gr",nasi padang,664.0,70.0,15.0,70.0,5
122,1 mangkok,nasi pecel,553.0,15.8,22.4,76.18,7
123,"200 gr nasi, 2 buah (182 gr)",nasi perkedel,442.0,7.27,11.0,76.1,7
124,100 gr,nasi putih,130.0,2.4,0.2,28.6,6
125,200 gr,nasi rames,310.0,20.6,8.4,38.2,3
126,"1 mangkok, 160 gr",nasi uduk,260.0,4.07,12.96,32.84,3
127,"200 gr lontong, 120 gr lele",pecel lele,476.8,22.16,11.16,71.0,7
128,100 gr,pempek kapal selam,152.0,4.5,2.3,28.2,6
129,"120 gr, 1 porsi",pentol,322.8,16.488,19.05,20.67,3
130,100 gr,perkedel,143.0,7.3,7.4,13.9,6
131,"1 buah, 60 gr",pisang goreng,94.8,0.54,6.24,10.5,2
132,"1 porsi, 120 gr",pisang keju,300.0,30.63,16.37,10.35,3
133,"1 potong, 128 gr",pizza,360.0,14.0,21.0,29.0,3
134,2 buah 30 gr,rempeyek,153.9,5.25,9.75,13.29,6
135,100 gr,roti,264.0,9.61,1.3,55.81,8
136,"1 buah, 85gr",roti goreng,336.6,5.95,19.04,35.275,3
137,100 gr,roti keju,280.0,9.6,4.5,49.4,8
138,100 gr,roti kukis,284.0,8.6,4.3,52.5,8
139,240 gr,sayur asem,80.0,3.18,2.76,12.9,2
140,100 gr,sayur bayam bening,36.0,1.79,0.37,7.64,2
141,125 gr,sayur labu,115.0,2.7,4.38,19.85,6
142,100 gr,sayur lodeh,162.0,6.66,9.47,14.73,6
143,241 gr,sayur sop,72.0,2.12,1.93,11.98,2
144,"1 mangkok, 124 gr",sereal,124.0,2.39,1.12,27.4,6
145,100 gr,siomay,103.0,9.2,1.71,12.23,2
146,100 gr,sop buntut,71.0,7.5,3.6,2.2,2
147,100 gr,sop daging sapi,49.0,5.8,0.5,5.3,2
148,100 gr,sop kaki sapi,68.0,9.0,1.9,3.7,2
149,100 gr,sop kambing,34.0,5.5,0.8,1.1,2
150,100 gr,sop konro,71.0,7.4,2.6,4.5,2
151,100 gr,sop saudara,89.0,7.2,5.0,3.9,2
152,"1 porsi, 57 gr",sosis,98.0,10.16,5.69,10.16,2
153,100 gr,soto bandung,42.0,3.9,1.7,2.8,2
154,100 gr,soto banjar,110.0,2.9,9.5,3.2,2
155,100 gr,soto betawi,135.0,2.5,8.8,11.5,6
156,100 gr,soto daging,57.0,3.6,4.6,0.0,2
157,100 gr,soto jeroan,92.0,11.8,4.3,1.4,2
158,100 gr,susu dancow,464.0,21.6,19.0,51.6,1
159,100 gr,susu kental manis,320.0,7.8,8.7,54.5,8
160,100 gr,susu milo,387.0,10.8,9.5,65.8,8
161,100 gr,susu sapi,66.0,3.2,3.9,4.8,2
162,"3 buah, 300 gr",tahu isi,402.0,30.75,19.92,2.595,3
163,1 gelas,teh manis,55.0,0.0,0.0,14.36,2
164,1 butir sedang,telur rebus,68.0,5.51,4.65,0.49,2
165,1 porsi (85 gr),tumis kangkung,106.0,2.76,9.4,4.31,2
166,"2 potong, 150 gr",ubi goreng,277.5,1.8,3.9,61.2,8
167,100 gr,wafer,306.0,6.2,2.6,63.8,8
168,100 gr,waffle,291.0,8.0,14.0,33.0,3
169,1 kebab,kebab,620.0,37.87,16.63,77.1,5
170,66 gr,es krim,133.0,2.32,7.08,16.1,6
171,1 gelas,jasuke,355.0,9.04,4.45,71.5,8
172,257 gr,burger,480.0,22.0,25.0,42.0,1
173,60 gr,cimol,133.0,3.13,0.58,24.81,6
174,120 gr,cilor,319.0,2.93,2.93,69.81,8
